Oud label (kolom J)	Genormaliseerd (kolom J)	Probleem categorie (kolom AA)	Rijen in export
Tijdslot aanpassing — Aanpassing niet mogelijk — product mee terug: Nee	Stop / tijdslot aanpassen	Planning / administratie	4
Vraag over depot/hub: Sleutelkastje ophalen / code	Depot/hub: alarm of sleutelkastje	Depot / hub	4
Adres niet bereikbaar	Adres niet gevonden / niet bereikbaar	Onderweg	3
CBF stop aanpassen — Aanpassing niet mogelijk	Stop / tijdslot aanpassen	Planning / administratie	3
CBF stop aanpassen — Stop verwijderd — bevestigd	Stop / tijdslot aanpassen	Planning / administratie	3
KS vraagt om held terug te sturen — Milieuretour / Pick-up ophalen	Pick-up ophalen	Nazorg nodig	3
KS: Nazorg nodig — Milieuretour / Pick-up ophalen	Pick-up ophalen	Nazorg nodig	3
KS: Nazorg nodig — TV installeren	TV installeren	Nazorg nodig	3
Spullen achtergelaten bij klant	Spullen achtergelaten bij klant	Nazorg nodig	3
Vraag over pakket: Pakket verkeerd / beschadigd	Pakket verkeerd / beschadigd	Pakket	3
Vraag voor het depot: Fiets kapot / incident	Depot/hub: voertuig kapot of incident	Depot / hub	3
deur omdraaien	Deur omdraaien	Nazorg nodig	3
Advies gegeven (Pick-up)	Vraag / advies	Overig	2
CBF stop aanpassen — Stop doorgepland naar andere route	Stop / tijdslot aanpassen	Planning / administratie	2
Depot / Hub vraag: Ziekmelding	Depot/hub: ziekmelding	Depot / hub	2
KS: Nazorg nodig — Apparaat inbouwen (Keuken)	Apparaat inbouwen (Keuken)	Nazorg nodig	2
KS: Nazorg nodig — TV ophangen en installeren	TV ophangen en installeren	Nazorg nodig	2
KS: Nazorg nodig — Trekschakelaar aansluiten	Trekschakelaar aansluiten	Nazorg nodig	2
KS: Spullen achtergelaten bij klant	Spullen achtergelaten bij klant	Nazorg nodig	2
Klant moet KS bellen	Buiten DS: klant doorverwezen naar KS	Overig	2
Nazorg nodig — TV ophangen en installeren	TV ophangen en installeren	Nazorg nodig	2
Nazorg nodig — Trekschakelaar aansluiten	Trekschakelaar aansluiten	Nazorg nodig	2
Onderweg: Klant niet bereikbaar / verkeerd nummer	Klant niet bereikbaar / verkeerd nummer	Onderweg	2
Trekschakelaar	Trekschakelaar aansluiten	Nazorg nodig	2
Vraag om aanpassingen in rit — Niet mogelijk	Stop / tijdslot aanpassen	Planning / administratie	2
Vraag over depot/hub: Andere vraag over depot — Bus kapot	Depot/hub: voertuig kapot of incident	Depot / hub	2
Vraag voor het depot: Ziekmelding	Depot/hub: ziekmelding	Depot / hub	2
trekschakelaar	Trekschakelaar aansluiten	Nazorg nodig	2
Advies gegeven (Milieuretour)	Vraag / advies	Overig	1
Advies gegeven aan Winkel	Vraag / advies	Overig	1
Afhandeling buiten DS: Overig — Miliieuretour past niet in de bus	Buiten DS: overig	Overig	1
Afhandeling buiten DS: Overig — Vraag over tanken	Buiten DS: overig	Overig	1
Depot / Hub vraag: Andere vraag — Inlog probleem	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — Interne levering over hoelaat hij er is	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — Pakketje manco	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — Prive telefoon vragen	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — Problemen met collega	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — Rit rapport uitprinten uitleg	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — niemand aanwezig bij de winkel	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — pakketje wel of niet leveren	Depot/hub: overige vraag	Depot / hub	1
Depot / Hub vraag: Andere vraag — stops doorplannen	Depot/hub: overige vraag	Depot / hub	1
Er mist een wasmachine	Vraag / advies	Overig	1
Huis te goor om service te verlenen	Vraag / advies	Overig	1
Interne levering: Hub niet gevonden	Interne levering	Overig	1
KS vraagt om held terug te sturen — Apparaat inbouwen (Keuken)	Apparaat inbouwen (Keuken)	Nazorg nodig	1
KS vraagt om held terug te sturen — Drempel	Plaatsen / Naar boven tillen	Nazorg nodig	1
KS vraagt om held terug te sturen — Plaatsen / Naar boven tillen	Plaatsen / Naar boven tillen	Nazorg nodig	1
KS vraagt om held terug te sturen — drempel nazorg	Plaatsen / Naar boven tillen	Nazorg nodig	1
KS: Nazorg nodig — Jas vergeten	Vraag / advies	Overig	1
KS: Nazorg nodig — Stapelkit plaatsen	Stapelkit plaatsen	Nazorg nodig	1
Klant wil de omruiling op Zaterdag	Vraag / advies	Overig	1
Klant wil order annuleren omdat het al vaker fout is gegaan	Vraag / advies	Overig	1
Milieuretour / Pick-up ophalen (Pick-up)	Pick-up ophalen	Nazorg nodig	1
Milieuretour pick up	Pick-up ophalen	Nazorg nodig	1
Naleveren doosje	Vraag / advies	Overig	1
Nazorg nodig voor 26x TV ophangen	TV ophangen en installeren	Nazorg nodig	1
Nazorg nodig — Geen BI in de buurt	Vraag / advies	Overig	1
Nazorg nodig — TV + Soundbar installeren	TV + Soundbar installeren	Nazorg nodig	1
Nazorg nodig — TV installeren	TV installeren	Nazorg nodig	1
Nazorg nodig — herhaal drempel	Plaatsen / Naar boven tillen	Nazorg nodig	1
Ongeluk met hand	Vraag / advies	Overig	1
Vaatwasser inbouiwen	Vraag / advies	Overig	1
Vraag over depot/hub: Andere vraag over depot — Telefoon nummer depot nodig	Depot/hub: overige vraag	Depot / hub	1
Vraag over depot/hub: Andere vraag over depot — adres winkel leiden	Depot/hub: overige vraag	Depot / hub	1
Vraag over depot/hub: Andere vraag over depot — winkel levering nog steeds niemadn aanwezig	Depot/hub: overige vraag	Depot / hub	1
Vraag over pakket: Pakje niet ingeladen	Pakket niet meegenomen / niet ingeladen	Pakket	1
Vraag voor het depot: Anders — Afspraak na werk	Depot/hub: overige vraag	Depot / hub	1
Vraag voor het depot: Anders — Hulp met afmelden van de rit	Depot/hub: overige vraag	Depot / hub	1
Vraag voor het depot: Anders — Vraag over wachtwoord en inloggeen	Depot/hub: overige vraag	Depot / hub	1
Vraag voor het depot: Informeren waar de vracht is	Depot/hub: waar is de vracht	Depot / hub	1
Winkel: Advies gegeven aan Winkel	Vraag / advies	Overig	1
beugel te zwaar voor 1 man	Vraag / advies	Overig	1
geweigerd klant wenst geld terug	Vraag / advies	Overig	1
inbouwen	Apparaat inbouwen (Keuken)	Nazorg nodig	1
inbouwen vaatwasser	Apparaat inbouwen (Keuken)	Nazorg nodig	1
koelkast inbouwen	Apparaat inbouwen (Keuken)	Nazorg nodig	1
nbiet meer nodig	Vraag / advies	Overig	1
past niet	Product past niet op gewenste plek	Probleem bij de klant	1
pick up niet meer nodig	Pick-up ophalen	Nazorg nodig	1
plaatsen en aansluiten	Plaatsen / Naar boven tillen	Nazorg nodig	1
swap niet uitgevoerd	Nazorg niet gelukt / swap aanvragen	Probleem bij de klant	1
swap niet uitgevoerd. Niet meer nodig	Nazorg niet gelukt / swap aanvragen	Probleem bij de klant	1
verkeerd gelabeld product	Verkeerd gelabeld product	Probleem bij de klant	1
wasmachine staat nog aan	Vraag / advies	Overig	1
Pick-up ophalen	Pick-up ophalen	Nazorg nodig	0
Product past niet op gewenste plek	Product past niet op gewenste plek	Probleem bij de klant	0
Nazorg niet gelukt / swap aanvragen	Nazorg niet gelukt / swap aanvragen	Probleem bij de klant	0
Pakket niet meegenomen / niet ingeladen	Pakket niet meegenomen / niet ingeladen	Pakket	0
Pakket verkeerd / beschadigd	Pakket verkeerd / beschadigd	Pakket	0
Overige vraag over pakket	Overige vraag over pakket	Pakket	0
Depot/hub: ziekmelding	Depot/hub: ziekmelding	Depot / hub	0
Depot/hub: alarm of sleutelkastje	Depot/hub: alarm of sleutelkastje	Depot / hub	0
Depot/hub: voertuig kapot of incident	Depot/hub: voertuig kapot of incident	Depot / hub	0
Depot/hub: waar is de vracht	Depot/hub: waar is de vracht	Depot / hub	0
Depot/hub: overige vraag	Depot/hub: overige vraag	Depot / hub	0
Stop / tijdslot aanpassen	Stop / tijdslot aanpassen	Planning / administratie	0
Adres of telefoonnummer doorgeven aan held	Adres of telefoonnummer doorgeven aan held	Planning / administratie	0
Held terugsturen (taak niet gespecificeerd)	Held terugsturen (taak niet gespecificeerd)	Planning / administratie	0
Vraag / advies	Vraag / advies	Overig	0
Interne levering	Interne levering	Overig	0
Externe partner	Externe partner	Overig	0
Buiten DS: held regelt met TL	Buiten DS: held regelt met TL	Overig	0
Buiten DS: klant doorverwezen naar KS	Buiten DS: klant doorverwezen naar KS	Overig	0
Buiten DS: overig	Buiten DS: overig	Overig	0
